external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
5.874592901022879e-08,5.501240138983121e-06,3.4125646379834507e-06,1.6902266679608147e-06,0.9999499320983887,3.2614058000035584e-05,6.842428774689324e-06
3.230824222555384e-05,0.999212384223938,0.00013220783148426563,0.0004811107646673918,5.7684337662067264e-05,7.293902308447286e-05,1.1384724530216772e-05
0.9999768733978271,1.8249725144414697e-06,2.2798346890340326e-06,5.579225216933992e-06,3.311987484266865e-06,9.023769052873831e-06,9.995067102863686e-07
2.9573366191470996e-06,6.562045655300608e-06,0.0003511978138703853,0.9995935559272766,3.073594416491687e-05,8.813748536340427e-06,6.14729924564017e-06
0.9999765157699585,2.214690766777494e-06,2.6736802283267025e-06,5.504514319909504e-06,3.1251274776877835e-06,8.941901796788443e-06,1.0313874554412905e-06
0.9999417066574097,2.941097136499593e-06,9.49296463659266e-06,2.4001688871067017e-05,9.127684279519599e-06,9.945449164661113e-06,2.7259288799541537e-06
3.699657824540736e-08,1.201083591695351e-06,1.3269967666929006e-06,4.215582976030419e-06,0.9999805688858032,8.206680831790436e-06,4.4576327127288096e-06
0.9978474378585815,3.081979230046272e-05,0.0009027536143548787,2.4063214368652552e-05,8.126409375108778e-05,0.001062425784766674,5.1258983148727566e-05
4.267996246198891e-06,9.442596820008475e-06,0.9997792840003967,3.495712735457346e-05,2.443521225359291e-05,0.00012457341654226184,2.2949221602175385e-05
4.163182893535122e-06,3.279998963989783e-06,9.232571756001562e-05,0.9965470433235168,0.003335334826260805,7.487713901355164e-06,1.0347294846724253e-05
0.9999308586120605,2.9316536256374093e-06,5.740960659750272e-06,3.866807674057782e-05,7.675291271880269e-06,1.1478828128019813e-05,2.6751981749839615e-06
4.846201409236528e-05,0.0024598136078566313,0.0032519600354135036,5.6559791119070724e-05,0.00047527620336040854,0.9932538866996765,0.0004539965884760022
0.9997573494911194,5.145052637089975e-05,7.570582965854555e-05,3.054386979783885e-05,1.585416066518519e-05,6.441118603106588e-05,4.7027501750562806e-06
0.999954104423523,1.0000707334256731e-05,4.171245564066339e-06,3.091325197601691e-06,3.3038866149581736e-06,2.400892299192492e-05,1.2995647011848632e-06
0.9513916969299316,0.0009218254126608372,0.0002249600802315399,6.222139927558601e-05,8.258796879090369e-05,0.047087591141462326,0.0002291958371642977
